MERY.PA_prix;LI.PA_prix;COV.PA_prix;NK.PA_prix;BNP.PA_prix;ACA.PA_prix;CS.PA_prix;EN.PA_prix;DG.PA_prix;AI.PA_prix;SAN.PA_prix;ORA.PA_prix;ITP.PA_prix;RCO.PA_prix;ERA.PA_prix;BN.PA_prix;TTE.PA_prix;RUI.PA_prix;ABCA.PA_prix;ALTA.PA_prix;VCT.PA_prix;ICAD.PA_prix
29.6;46.193871;136.624512;63.542896;79.5;26.55051;31.266487;56.34;57.735001;45.776627;65.339996;20.07;7.442765;51.93;145.080002;57.371479;51.700001;14.877314;5.9;197.620102;85.099998;119.099998
29.5;46.193871;137.06665;63.579811;78;26.079569;31.266487;55.560001;57.845001;45.704739;64.449997;19.870001;7.428684;51.5;153.009995;56.663773;51.349998;14.917143;5.55;195.653732;85.5;119.099998
29.5;45.217941;135.98584;63.49675;78.300003;26.106226;31.266487;56.57;57.549999;45.853649;64.5;19.709999;7.247644;51.34;154.970001;56.475052;51.450001;14.935886;5.69;195.653732;85.150002;122
29.389999;44.567326;135.641953;63.016834;77.199997;25.697483;30.28941;55.860001;57.264999;45.676498;64.300003;19.530001;7.259713;50.889999;153.800003;56.380688;51.91;15.111603;5.66;194.670547;85.150002;122
29.299999;45.217941;136.604858;64.142792;77.900002;26.035139;31.266487;57.68;57.610001;46.72913;65;19.700001;7.259713;50.77;153.710007;57.654564;52.700001;15.191261;5.47;194.670547;85.120003;122
30.65;47.169796;137.42038;64.142792;78.199997;25.937397;31.266487;57.849998;58.009998;46.854931;65.099998;19.77;7.1008;50.52;156.130005;57.701744;52.450001;15.26389;5.56;193.687363;85.099998;122
29.9;46.844486;138.04921;64.447357;78;25.955168;31.266487;58.98;58;46.937088;64.739998;20.139999;7.084707;49.970001;156.399994;57.984825;52.389999;15.634066;5.59;203.519211;85.099998;122
29.9;46.844486;138.393112;64.272003;78.900002;26.328367;31.266487;60.02;58.91;47.183559;64.900002;20.42;7.137008;50.869999;158;58.503811;52.75;15.495836;5.55;203.519211;85;122
29.870001;46.844486;136.752243;65.268753;79.400002;26.523853;31.266487;59.5;58.375;47.440296;65.459999;20.469999;7.227528;50.669998;165.300003;58.409451;52.700001;15.228747;5.5;204.502396;85;122.989998
29.799999;47.820412;137.027359;65.997856;80.099998;26.55051;31.266487;59.290001;59.005001;47.558399;65.519997;20.440001;7.285863;50.740002;160.809998;58.31509;52.689999;15.463035;5.42;199.596298;85;123
29.85;48.471031;138.53067;66.450089;80.599998;26.98591;32.243565;59.759998;58.459999;48.146332;65.260002;20.690001;7.275805;50.900002;163.5;57.371479;52.52;15.47475;5.64;196.636917;85;123.5
29.76;47.495106;133.608063;65.951714;80.099998;26.870398;32.243565;59.900002;58.23;47.53529;65.389999;20.66;7.28184;50.810001;163.679993;57.607384;52.869999;15.514579;5.66;196.636917;85;124
29.200001;47.820412;135.838455;65.508713;80.300003;26.923712;32.243565;59.639999;57.709999;46.942223;65.610001;20.549999;7.273794;50.43;163.110001;57.371479;52.939999;15.786353;5.74;196.636917;85;125
29;46.519176;136.781708;65.481026;81;27.048111;32.243565;59.810001;57.244999;47.191261;67.440002;20.790001;7.334141;50.34;166;57.560204;53.68;15.582522;5.74;195.653732;85;125.5
28.879999;47.169796;138.373459;65.517944;83.400002;27.519054;33.220642;59.349998;57.41;47.822838;68.279999;20.969999;7.37236;51.400002;165.300003;57.654564;53.75;15.650466;5.68;194.670547;85.010002;126
29.5;47.169796;137.852707;64.724236;83.300003;27.288025;33.220642;59.529999;57.924999;47.853649;68.099998;20.889999;7.362302;51.380001;162.690002;57.324299;54.299999;15.603608;5.72;196.636917;85.099998;128
29.27;46.519176;135.003281;65.065712;83.599998;27.074768;33.220642;59.34;57.560001;47.042351;68;20.68;7.352245;51.560001;163.679993;56.758133;53.84;15.505207;5.84;196.636917;85;131.5
29.200001;46.193871;139.012115;65.010338;83.199997;26.897055;32.243565;59.009998;58.834999;47.342735;67.300003;20.719999;7.291898;52;165;56.852493;53.34;15.650466;5.92;196.62709;85;131.490005
29.25;46.844486;140.996887;65.665611;86.5;27.527941;33.220642;59.630001;59.974998;48.056473;67.690002;21.02;7.291898;52.889999;167.5;57.984825;53.869999;15.584865;6;194.670547;85.010002;131.5
29.25;46.844486;139.424789;65.41642;85.5;27.554598;32.243565;59.869999;60.150002;47.322197;66.910004;21;7.338164;53;169.759995;58.598171;54.299999;15.669209;6.02;196.636917;86.080002;131.490005
28.34;45.868561;136.034973;64.604256;85;27.27914;32.243565;58.98;59.169998;47.689335;66.989998;20.969999;7.362302;52.5;168;56.899673;53.93;15.697324;5.93;195.653732;90.989998;130
28.49;46.193871;137.36142;64.844208;85.699997;27.359112;33.220642;59.400002;59.700001;46.919117;67.510002;20.959999;7.289886;52.759998;175;57.277119;54.349998;15.875383;5.96;196.636917;90.760002;130
28.68;46.844486;137.06665;64.844208;86;27.705654;33.220642;58.389999;58.599998;46.847229;67.830002;21.629999;7.291898;53.639999;176.009995;56.522232;54.32;15.805096;5.87;196.636917;89.550003;130
28.9;46.519176;138.599442;64.530418;85.400002;27.527941;33.220642;58.900002;58.709999;46.233624;67.449997;21.459999;7.297933;53.900002;177.050003;56.569412;54.200001;16.048756;5.94;196.636917;91.5;130
28.459999;46.193871;138.04921;64.834984;85.699997;27.616796;33.220642;58.68;59.275002;46.91655;67.480003;21.59;7.261725;53.75;176.399994;57.182758;54.459999;15.969098;5.93;196.636917;90;130
27.309999;47.495106;139.582001;66.450089;86.400002;27.678997;33.220642;57.57;59.525002;46.595627;68.360001;21.610001;7.251667;53.189999;176.759995;57.748924;55;15.884755;5.97;196.636917;93.150002;132
27.200001;47.495106;138.923691;66.357796;86.5;27.536825;33.220642;58.740002;60.424999;46.485226;67.68;21.6;7.243621;52.869999;176.610001;57.607384;55.66;15.833211;6;196.636917;91.519997;131.899994
27.4;47.169796;137.557938;68.434364;87.5;27.803396;34.19772;59.98;61.700001;46.826691;68.32;21.99;7.285863;53.110001;177.300003;57.748924;55.75;15.854297;6.05;196.636917;96.730003;132
27.17;47.495106;126.995445;67.991364;87.400002;27.927797;34.19772;62.080002;62.365002;46.883175;68.620003;21.92;7.362302;52.470001;176.5;57.324299;55.459999;15.744181;6.15;196.636917;103;132
26.5;46.844486;123.50737;68.351295;87.5;28.212139;33.220642;61;61.189999;46.623867;68.639999;21.969999;7.470927;52.18;178;57.418659;54.799999;15.58018;6.21;196.636917;120.110001;132
25.799999;45.868561;124.136208;67.040756;91.199997;29.091825;34.19772;61.049999;61.264999;46.557114;68.309998;22.17;7.643921;52.189999;180;56.805313;55;15.59658;6.4;196.636917;115;135
26.559999;45.868561;122.642723;66.966919;92.400002;28.869682;33.220642;60.759998;60.099998;46.238758;68.129997;21.879999;7.593632;51.599998;178.300003;55.24836;55.240002;15.802754;6.33;196.636917;106.800003;136
27;46.193871;123.851265;67.345322;93.800003;29.305082;33.220642;60.439999;59.505001;46.521172;67.800003;22.09;7.583574;51.75;175.529999;55.720161;55.290001;15.776982;6.18;196.145325;100.650002;136
27.84;45.868561;122.62307;66.893089;92.900002;28.887453;33.220642;60.790001;58.404999;45.994854;67.480003;22.01;7.553401;51.75;168.449997;55.720161;55.43;15.697324;6.26;199.586472;102;136
27.9;45.868561;120.736565;65.619461;94;29.278425;33.220642;62.060001;59.555;44.785614;68.040001;21.959999;7.390464;52.099998;169;55.012455;55.43;15.917555;6.26;196.646744;110;135
28;45.217941;117.946098;65.314896;93.099998;28.08774;32.243565;62.700001;59.02;44.436447;68.550003;21.719999;7.412591;52.389999;170.869995;54.823734;54.619999;15.910526;6.21;196.636917;111.809998;136
28.190001;45.217941;117.631683;65.462563;92.599998;28.238796;32.243565;63.060001;59.040001;44.711159;68.300003;21.52;7.394487;52.779999;169.419998;55.059635;54.599998;15.87304;6.25;196.636917;110.260002;135.990005
28.33;45.543251;118.7911;66.376251;94.199997;28.265453;32.243565;63.439999;60.23;45.717579;70.059998;21.93;7.472938;52.639999;171.800003;55.153996;56.189999;15.931612;6.16;196.735229;108.639999;136
27.790001;44.892632;121.837029;66.311653;93.599998;27.910025;31.266487;63.5;59.860001;45.953777;71.169998;21.799999;7.440753;52.580002;176.979996;55.767342;56.779999;16.048756;6.16;;104.699997;136
28;45.868561;123.418945;67.539131;93.5;28.185482;31.266487;64.239998;59.950001;46.010258;70.959999;22.120001;7.476961;52;175.350006;55.34272;56.560001;16.165901;6.15;205.48558;104.25;135.990005
28.4;46.193871;123.556503;67.603737;94.300003;28.141054;31.266487;65.209999;59.150002;45.869053;70.650002;22.58;7.627828;51.43;175.119995;55.29554;56.799999;16.107328;6.14;201.552841;104.209999;134.5
28.309999;46.193871;122.328308;67.419151;89.5;28.078854;31.266487;65.089996;58.349998;45.283688;70.580002;22.48;7.585585;51.84;174;54.776554;56.240002;15.931612;5.98;199.586472;104.07;135.990005
28;46.193871;120.952728;67.345322;90.900002;28.256569;31.266487;65.089996;57.599998;45.448002;70.699997;22.42;7.543343;52.75;173.25;54.399109;56.25;16.048756;6.09;201.552841;100.800003;135.990005
27.93;46.193871;122.81958;67.345322;91.099998;27.190283;31.266487;65;57.5;45.602043;70.919998;22.610001;7.513169;52.759998;174.699997;54.351929;56.25;16.236187;6.43;204.010803;99.75;135.990005
27.9;45.217941;122.102318;67.373009;91;27.332455;31.266487;64.889999;56.990002;45.039783;70.519997;22.700001;7.535296;53.330002;176.009995;55.059635;55.970001;16.400188;6.5;203.519211;99.550003;135.990005
28.1;45.217941;120.854469;67.077675;90.599998;27.42131;31.266487;64.650002;57.34;44.646973;70.949997;22.790001;7.563458;53.200001;175;55.012455;55.52;16.540762;6.48;201.651154;98.199997;135.5
29.4;46.844486;124.057602;68.388214;90.199997;27.261368;31.266487;65.599998;58.799999;45.301659;71.660004;22.83;7.5011;53.799999;180;54.918095;56;16.634478;6.56;201.700317;102.510002;137
29.6;47.169796;124.971382;71.572281;91.5;27.252483;32.243565;65.800003;60.009998;46.213085;71.349998;23.42;7.47495;53.799999;191;55.956066;56.599998;16.423618;6.54;204.502396;103.809998;137
28.98;46.193871;120.618652;71.156967;90.400002;27.021454;32.243565;65.120003;58.900002;46.464687;71.209999;23.219999;7.362302;53.450001;188.119995;55.3899;56.130001;16.404875;6.47;205.48558;106.110001;137
28.780001;45.217941;118.52581;70.963158;89.099998;27.056997;31.266487;66.019997;58.150002;46.803585;70.330002;22.969999;7.297933;53.099998;189.300003;54.540649;56;16.217443;6.82;207.45195;105;136.5
27.9;43.916706;116.482094;68.988113;87;26.834854;31.266487;64.510002;56.099998;46.225922;67.830002;21.440001;7.29391;52.110001;185.199997;53.880123;55.599998;16.072186;6.98;212.367874;106;145
26.200001;43.266087;112.40448;68.028275;85.900002;26.292826;30.28941;64.059998;54.799999;45.707306;67.629997;21.190001;7.201378;51.16;187.720001;53.030872;55.5;15.765267;7.04;216.300613;102.910004;139.509995
26.49;42.290161;112.502739;67.908295;87.199997;26.195084;30.28941;63.5;54.360001;45.350437;67.57;21.24;7.098788;50;186.699997;52.842152;55.25;15.697324;7.26;209.949234;100.599998;141
27.25;42.940781;112.512566;69.034256;88.900002;26.434998;30.28941;64.110001;54.82;46.215652;67.519997;21.23;7.090742;49.919998;188;52.464706;55.419998;15.875383;7.55;209.41832;92.900002;142
27.200001;42.290161;111.52018;68.065193;88.099998;26.132883;30.28941;63.299999;53.400002;45.596909;66.949997;21.15;7.060569;50.169998;184.679993;52.559071;55.369999;15.791039;7.3;203.519211;87.949997;142
26.559999;41.964851;110.999428;67.566818;88.400002;26.390568;30.28941;63;54.669998;45.776627;67.260002;21.309999;7.159135;50.099998;180;53.691402;55.970001;15.943327;7.51;199.586472;;142.5
